iata,name,country,region,latitude,longitude,facility_type,init_capacity,security_level,in_charge
PML,Port Moller Airport,US,US-AK,56.0060005188,-160.561004639,small_airport,0,10,False
PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport",US,US-AK,61.594898,-149.08901,medium_airport,0,20,False
BTI,Barter Island LRRS Airport,US,US-AK,70.1340026855,-143.582000732,medium_airport,0,20,False
BET,Bethel Airport,US,US-AK,60.77980042,-161.8379974,medium_airport,138,20,False
BVU,Beluga Airport,US,US-AK,61.1721992493,-151.044006348,small_airport,0,10,False
BIG,Allen Army Airfield,US,US-AK,63.9944992065,-145.722000122,medium_airport,0,20,False
BKC,Buckland Airport,US,US-AK,65.9815979004,-161.149002075,medium_airport,0,20,False
BMX,Big Mountain Airport,US,US-AK,59.3611984253,-155.259002686,small_airport,0,10,False
BRW,Wiley Post Will Rogers Memorial Airport,US,US-AK,71.285402,-156.766008,medium_airport,120,20,False
BTT,Bettles Airport,US,US-AK,66.91390228,-151.529007,medium_airport,0,20,False
CDB,Cold Bay Airport,US,US-AK,55.20610046386719,-162.72500610351562,medium_airport,0,20,False
CEM,Central Airport,US,US-AK,65.57379913,-144.7830048,small_airport,0,10,False
CIK,Chalkyitsik Airport,US,US-AK,66.6449966431,-143.740005493,small_airport,0,10,False
CYF,Chefornak Airport,US,US-AK,60.1492004395,-164.285995483,small_airport,0,10,False
SCM,Scammon Bay Airport,US,US-AK,61.845298767100005,-165.570999146,medium_airport,0,20,False
IRC,Circle City /New/ Airport,US,US-AK,65.830498,-144.076008,small_airport,0,10,False
CDV,Merle K (Mudhole) Smith Airport,US,US-AK,60.4917984,-145.4779968,medium_airport,120,20,False
CXF,Coldfoot Airport,US,US-AK,67.25219726559999,-150.203994751,small_airport,0,10,False
CYT,Yakataga Airport,US,US-AK,60.080974,-142.494541,small_airport,0,10,False
CZF,Cape Romanzof LRRS Airport,US,US-AK,61.78030014,-166.0390015,medium_airport,0,20,False
DRG,Deering Airport,US,US-AK,66.0696029663,-162.76600647,medium_airport,0,20,False
RDB,Red Dog Airport,US,US-AK,68.03209686279999,-162.899002075,small_airport,0,10,False
ADK,Adak Airport,US,US-AK,51.87799835205078,-176.64599609375,medium_airport,16,20,False
DLG,Dillingham Airport,US,US-AK,59.04470062,-158.5050049,medium_airport,0,20,False
MLL,Marshall Don Hunter Sr Airport,US,US-AK,61.8642997742,-162.026000977,medium_airport,0,20,False
ADQ,Kodiak Airport,US,US-AK,57.75,-152.4940033,medium_airport,104,20,False
DUT,Unalaska Airport,US,US-AK,53.900100708,-166.544006348,medium_airport,0,20,False
KKH,Kongiganak Airport,US,US-AK,59.960800170899994,-162.880996704,small_airport,0,10,False
EDF,Elmendorf Air Force Base,US,US-AK,61.250999450683594,-149.8070068359375,medium_airport,0,20,False
EEK,Eek Airport,US,US-AK,60.21367264,-162.0438843,small_airport,0,10,False
EAA,Eagle Airport,US,US-AK,64.77639771,-141.151001,small_airport,0,10,False
EHM,Cape Newenham LRRS Airport,US,US-AK,58.646400451699996,-162.06300354,medium_airport,0,20,False
EIL,Eielson Air Force Base,US,US-AK,64.66570282,-147.102005,medium_airport,0,20,False
EMK,Emmonak Airport,US,US-AK,62.78609848,-164.4909973,medium_airport,0,20,False
ENA,Kenai Municipal Airport,US,US-AK,60.57310104370117,-151.2449951171875,medium_airport,0,20,False
WWT,Newtok Airport,US,US-AK,60.939098358154,-164.64100646973,small_airport,0,10,False
FAI,Fairbanks International Airport,US,US-AK,64.81510162,-147.8560028,large_airport,748,30,False
FBK,Ladd AAF Airfield,US,US-AK,64.83750153,-147.6139984,medium_airport,0,20,False
ABL,Ambler Airport,US,US-AK,67.1063,-157.856989,medium_airport,0,20,False
NIB,Nikolai Airport,US,US-AK,63.0186,-154.358002,small_airport,0,10,False
FMC,Five Mile Airport,US,US-AK,65.9270019531,-149.839996338,small_airport,0,10,False
FWL,Farewell Airport,US,US-AK,62.5065994263,-153.893997192,small_airport,0,10,False
GAL,Edward G. Pitka Sr Airport,US,US-AK,64.73619843,-156.9369965,medium_airport,0,20,False
GBH,Galbraith Lake Airport,US,US-AK,68.4796981812,-149.490005493,small_airport,0,10,False
KWK,Kwigillingok Airport,US,US-AK,59.876499,-163.169005,small_airport,0,10,False
SHG,Shungnak Airport,US,US-AK,66.88809967041,-157.16200256348,small_airport,0,10,False
GKN,Gulkana Airport,US,US-AK,62.1548996,-145.4570007,medium_airport,0,20,False
GLV,Golovin Airport,US,US-AK,64.5504989624,-163.007003784,small_airport,0,10,False
GAM,Gambell Airport,US,US-AK,63.76679992675781,-171.73300170898438,medium_airport,0,20,False
BGQ,Big Lake Airport,US,US-AK,61.536098480199996,-149.813995361,small_airport,0,10,False
GST,Gustavus Airport,US,US-AK,58.4253006,-135.7070007,medium_airport,0,20,False
NME,Nightmute Airport,US,US-AK,60.471000671387,-164.70100402832,small_airport,0,10,False
SGY,Skagway Airport,US,US-AK,59.46009826660156,-135.3159942626953,small_airport,0,10,False
HCR,Holy Cross Airport,US,US-AK,62.18830108642578,-159.77499389648438,medium_airport,0,20,False
HSL,Huslia Airport,US,US-AK,65.69789886,-156.3509979,medium_airport,0,20,False
HNS,Haines Airport,US,US-AK,59.24380111694336,-135.5240020751953,medium_airport,0,20,False
HOM,Homer Airport,US,US-AK,59.645599365234375,-151.4770050048828,medium_airport,0,20,False
HPB,Hooper Bay Airport,US,US-AK,61.52389908,-166.1470032,medium_airport,0,20,False
HUS,Hughes Airport,US,US-AK,66.04109955,-154.2630005,small_airport,0,10,False
SHX,Shageluk Airport,US,US-AK,62.6922988892,-159.569000244,small_airport,0,10,False
IGG,Igiugig Airport,US,US-AK,59.32400131225586,-155.90199279785156,small_airport,0,10,False
EGX,Egegik Airport,US,US-AK,58.1855010986,-157.375,medium_airport,0,20,False
IAN,Bob Baker Memorial Airport,US,US-AK,66.9759979248,-160.43699646,medium_airport,0,20,False
ILI,Iliamna Airport,US,US-AK,59.75439835,-154.9109955,medium_airport,0,20,False
UTO,Indian Mountain LRRS Airport,US,US-AK,65.99279785,-153.7039948,medium_airport,0,20,False
MCL,McKinley National Park Airport,US,US-AK,63.7326011658,-148.910995483,small_airport,0,10,False
WAA,Wales Airport,US,US-AK,65.622593,-168.095,small_airport,0,10,False
JNU,Juneau International Airport,US,US-AK,58.35499954223633,-134.5760040283203,medium_airport,731,20,False
KGK,Koliganek Airport,US,US-AK,59.726600647,-157.259002686,small_airport,0,10,False
KDK,Kodiak Municipal Airport,US,US-AK,57.8059005737,-152.37399292,small_airport,0,10,False
KFP,False Pass Airport,US,US-AK,54.8474006652832,-163.41000366210938,small_airport,0,10,False
AKK,Akhiok Airport,US,US-AK,56.9387016296,-154.182998657,small_airport,0,10,False
KPN,Kipnuk Airport,US,US-AK,59.932998657199995,-164.031005859,small_airport,0,10,False
KKA,Koyuk Alfred Adams Airport,US,US-AK,64.9394989014,-161.154006958,small_airport,0,10,False
LKK,Kulik Lake Airport,US,US-AK,58.9821014404,-155.121002197,small_airport,0,10,False
AKN,King Salmon Airport,US,US-AK,58.67679977,-156.6490021,medium_airport,0,20,False
IKO,Nikolski Air Station,US,US-AK,52.94160079956055,-168.8489990234375,small_airport,0,10,False
AKP,Anaktuvuk Pass Airport,US,US-AK,68.13359833,-151.7429962,medium_airport,0,20,False
KTN,Ketchikan International Airport,US,US-AK,55.35559845,-131.7140045,medium_airport,397,20,False
UUK,Ugnu-Kuparuk Airport,US,US-AK,70.33080291750001,-149.598007202,small_airport,0,10,False
KAL,Kaltag Airport,US,US-AK,64.31909943,-158.7409973,small_airport,0,10,False
KLW,Klawock Airport,US,US-AK,55.579200744599994,-133.076004028,medium_airport,0,20,False
KYK,Karluk Airport,US,US-AK,57.5671005249,-154.449996948,small_airport,0,10,False
KLN,Larsen Bay Airport,US,US-AK,57.5350990295,-153.977996826,small_airport,0,10,False
KLG,Kalskag Airport,US,US-AK,61.53630065917969,-160.34100341796875,small_airport,0,10,False
DQH,Alpine Airstrip,US,US-AK,70.3442993164,-150.945007324,small_airport,0,10,False
WCR,Chandalar Lake Airport,US,US-AK,67.5045013428,-148.483001709,small_airport,0,10,False
LUR,Cape Lisburne LRRS Airport,US,US-AK,68.87509918,-166.1100006,medium_airport,0,20,False
KMO,Manokotak Airport,US,US-AK,58.990200042699996,-159.050003052,small_airport,0,10,False
MCG,McGrath Airport,US,US-AK,62.95289993,-155.6060028,medium_airport,0,20,False
MDO,Middleton Island Airport,US,US-AK,59.4499015808,-146.307006836,small_airport,0,10,False
LMA,Minchumina Airport,US,US-AK,63.886002,-152.302002,small_airport,0,10,False
SMK,St Michael Airport,US,US-AK,63.49010086,-162.1100006,small_airport,0,10,False
MLY,Manley Hot Springs Airport,US,US-AK,64.99759674069999,-150.643997192,small_airport,0,10,False
MOU,Mountain Village Airport,US,US-AK,62.095401763916016,-163.6820068359375,small_airport,0,10,False
MRI,Merrill Field,US,US-AK,61.2135009765625,-149.843994140625,medium_airport,0,20,False
MXY,Mc Carthy Airport,US,US-AK,61.4370994568,-142.904006958,small_airport,0,10,False
MYU,Mekoryuk Airport,US,US-AK,60.37139892578125,-166.27099609375,medium_airport,0,20,False
